economy,LO.PISA.REA,LO.PISA.MAT,LO.PISA.SCI
ALB,405.429366278381,437.221991161354,416.726257580122
ARE,431.78176943112,434.947251865321,433.636802667468
ARG,401.503108807317,379.453816602929,404.071444821693
AUS,502.63172442266,491.360025242637,502.964562882438
AUT,484.392568511997,498.942313799593,489.780439531409
BEL,492.864438603842,508.070306356471,498.77312723922
BGR,419.844005964249,436.04057099732,424.073582875218
BIH,402.977821260903,406.384407914433,398.497662699098
BLR,473.788446933152,471.865144277411,471.263680793452
BRA,412.87331668525,383.56912410618,403.620942039241
BRN,408.069944019334,430.112962267376,430.984376616659
CAN,520.085520926521,512.016942823931,517.99766075567
CHE,483.929405145339,515.314713126144,495.276287968577
CHL,452.27255409198,417.406556233565,443.582563387665
CHN,555.236243587507,591.393596878513,590.452640080788
COL,412.295085675563,390.932273740346,413.322992973877
CRI,426.498225007361,402.330558607212,415.622462110576
CYP,424.358247216819,450.682994426841,439.008249797907
CZE,490.218815026372,499.467650906247,496.791310656231
DEU,498.279256429592,500.043780166766,502.9889028235
DNK,501.129933774048,509.398374502504,492.637033350974
DOM,341.625620743964,325.100546639571,335.629946557719
EST,523.017018425265,523.41458013492,530.108004621743
FIN,520.078748316689,507.301361818144,521.88456314354
FRA,492.606481334553,495.407581444032,492.977076058355
GBR,503.928109206045,501.76989911392,504.667473533585
GEO,379.752540646346,397.586355244177,382.663606351912
GRC,457.414394703693,451.370343770282,451.632741646629
HKG,524.28311715195,551.1542741271,516.686129547221
HRV,478.989152395076,464.204272711969,472.362619572977
HUN,475.986672245033,481.082636356244,480.911693882286
IDN,370.965381846226,378.66813229903,396.070054650601
IRL,518.078459119394,499.632894037668,496.113561872584
ISL,473.974316767345,495.187376173876,475.024106333758
ISR,470.415177979245,463.034548920455,462.196632753733
ITA,476.284679692667,486.58985801291,468.011727891513
JOR,419.063660710194,399.761909259239,429.252073733676
JPN,503.856041309186,526.973250496982,529.135433770821
KAZ,386.909274699556,423.146133028156,397.104835281035
KOR,514.052287958269,525.933001858893,519.007254581204
LBN,353.355316430011,393.450054210452,383.71699371009
LTU,475.873479608212,481.191188294563,482.067012570461
LUX,469.985389363179,483.421485222719,476.769406208825
LVA,478.698674145046,496.126330696125,487.250588357622
MAC,525.116168948225,557.670230369385,543.585733723951
MAR,359.387886216686,367.727352665866,376.596889264975
MDA,423.992965737887,420.60399887257,428.485266806617
MEX,420.468892771172,408.801473754761,419.204719582484
MKD,392.667769403083,394.446829905941,413.044673632074
MLT,448.234760109868,471.724415048656,456.590322781799
MNE,421.057573198021,429.611542426079,415.172231156272
MYS,414.979514206286,440.207536711111,437.61807367156
NLD,484.783725370566,519.230982676559,503.383819750007
NOR,499.450956276384,500.963788355953,490.413149272607
NZL,505.727283443831,494.489675979207,508.490721422843
OED,487.125994762552,489.286640086271,488.662377484584
PAN,376.971316661976,352.846255737029,364.623772485532
PER,400.51370593417,399.837674812822,404.215601330196
PHL,339.691589979014,352.567067100026,356.933323619256
POL,511.855695357732,515.647874629692,511.035561794169
PRT,491.800785136834,492.487406111793,491.677328515614
QAT,407.091792090257,414.228717674268,419.127154883249
ROU,427.703145850645,429.916827074466,425.761227085172
RUS,478.501933994944,487.786538734327,477.717679762959
SAU,399.151658578592,373.238805740542,386.246144966173
SGP,549.464707794461,569.007779801712,550.936899986808
SRB,439.466341206059,448.283056298284,439.873889462623
SVK,457.983967040748,486.164854293562,464.047578343491
SVN,495.345615126036,508.897544084895,507.006545970774
SWE,505.785220598165,502.387702056848,499.444690059301
THA,392.888640988081,418.5555016796,425.813449977136
TUR,465.631666498609,453.507777946146,468.299618695693
UKR,465.950148140292,453.117498927934,468.987742612404
URY,427.117618198351,417.66161727969,425.812676624091
USA,505.352771050068,478.244717377205,502.380032000921
VNM,504.505626391363,495.675427482772,543.384874714563
XKX,353.065432540458,365.884946677861,364.882407737958
ESP,,481.392612675476,483.252042725488
